"id","slug","name","current_category_slugs","current_category_names","target_category_slug"
"353","11-inc-titresimli-et-doku-penis-vibrator-gercek-hissin-yeni-tanimi","11 İnç Titreşimli Et Doku Penis Vibratör – Gerçek Hissin Yeni Tanımı!","sex-oyuncaklari","SEX OYUNCAKLARI",""
"354","12-titresim-fonksiyonlu-uzaktan-kumandali-yumurta-vibrator","12 TİTREŞİM FONKSİYONLU UZAKTAN KUMANDALI YUMURTA VİBRATÖR","sex-oyuncaklari","SEX OYUNCAKLARI",""
"355","19-cm-ten-rengi-vantuzlu-dildo-gercekci-silikon-seks-oyuncagi-realistik-penis-dildo","19 CM Ten Rengi Vantuzlu Dildo – Gerçekçi Silikon Seks Oyuncağı | Realistik Penis Dildo","sex-oyuncaklari","SEX OYUNCAKLARI",""
"356","21cm-gercekci-dildo-yapay-penis-vibrator","21CM Gerçekçi Dildo Yapay Penis Vibratör","sex-oyuncaklari","SEX OYUNCAKLARI",""
"357","28-cm-gercekci-et-doku-uzun-dildo-penis","28 cm Gerçekçi Et Doku Uzun Dildo Penis","sex-oyuncaklari","SEX OYUNCAKLARI",""
"358","28-cm-titresimli-gercekci-kalin-dildo-penis-guclu-titresim-realistik-dick","28 cm Titreşimli Gerçekçi Kalın Dildo Penis | Güçlü Titreşim – Realistik Dick","sex-oyuncaklari","SEX OYUNCAKLARI",""
"359","ava-tpe-skeleton-tam-realistik-manken","Ava TPE-Skeleton Tam Realistik Manken","sex-oyuncaklari","SEX OYUNCAKLARI",""
"360","baile-dolgulu-titresimli-protez-strapon","Baile Dolgulu Titreşimli Protez Strapon","sex-oyuncaklari","SEX OYUNCAKLARI",""
"361","bastan-cikarici-parlak-dantel-transparan-vucut-corabi","Baştan Çıkarıcı Parlak Dantel Transparan Vücut Çorabı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"362","bdsm-fetis-deri-baglama-seti","BDSM FETİŞ DERİ BAĞLAMA SETİ","sex-oyuncaklari","SEX OYUNCAKLARI",""
"363","belden-baglamali-cift-tarafli-ici-dolu-strapon-penis","Belden Bağlamalı Çift Taraflı İçi Dolu Strapon Penis","sex-oyuncaklari","SEX OYUNCAKLARI",""
"364","belden-baglamali-ici-bos-titresimli-penis-vibrator","Belden Bağlamalı İçi Boş Titreşimli Penis Vibratör","sex-oyuncaklari","SEX OYUNCAKLARI",""
"365","belden-baglamali-ici-dolu-strapon-penis","Belden Bağlamalı İçi Dolu Strapon Penis","sex-oyuncaklari","SEX OYUNCAKLARI",""
"366","big-pussy-lilac-cift-tarafli-gercekci-et-dokusunda-anal-oral-ve-vajina-masturbator","BIG PUSSY Lilac Çift Taraflı Gerçekçi Et Dokusunda Anal Oral ve Vajina Mastürbatör","sex-oyuncaklari","SEX OYUNCAKLARI",""
"367","chane-5-cm-dolgulu-premium-silikon-penis-kilifi-ten-rengi-gercekci","Chane 5 cm Dolgulu Premium Silikon Penis Kılıfı – Ten Rengi Gerçekçi","sex-oyuncaklari","SEX OYUNCAKLARI",""
"368","dolgulu-ici-bos-belden-baglamali-titresimli-kumandali-vibrator-strap-on","DOLGULU İÇİ BOŞ BELDEN BAĞLAMALI TİTREŞİMLİ KUMANDALI VİBRATÖR STRAP-ON","sex-oyuncaklari","SEX OYUNCAKLARI",""
"369","ero-shop-bunion-gercek-hissiyatli-uzatici-penis-kilifi","Ero Shop Bunion Gerçek Hissiyatlı Uzatıcı Penis Kılıfı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"370","ero-shop-seffaf-mavi-realistik-dildo-20-cm-esnek-jel-doku-damarli-gercekci-penis","Ero Shop Şeffaf Mavi Realistik Dildo 20 cm – Esnek Jel Doku, Damarlı Gerçekçi Penis","sex-oyuncaklari","SEX OYUNCAKLARI",""
"371","ero-shop-seffaf-pembe-realistik-dildo-23-cm","Ero Shop Şeffaf Pembe Realistik Dildo 23 cm","sex-oyuncaklari","SEX OYUNCAKLARI",""
"372","ero-shop-seffaf-realistik-dildo-23-cm","Ero Shop Şeffaf Realistik Dildo 23 cm","sex-oyuncaklari","SEX OYUNCAKLARI",""
"373","ero-shop-silikon-seffaf-mavi-realistik-dildo-175-cm","Ero Shop Silikon Şeffaf Mavi Realistik Dildo – 17,5 cm","sex-oyuncaklari","SEX OYUNCAKLARI",""
"374","ero-shop-silikon-seffaf-mor-renkli-realistik-dildo-20-cm","Ero Shop Silikon Şeffaf Mor Renkli Realistik Dildo – 20 cm","sex-oyuncaklari","SEX OYUNCAKLARI",""
"375","eroshop-ayarlanabilir-guclu-titresimli-zenci-vibrator-22cm","Eroshop AYARLANABİLİR GÜÇLÜ TİTREŞİMLİ ZENCİ VİBRATÖR 22CM","sex-oyuncaklari","SEX OYUNCAKLARI",""
"376","fantezi-deri-aksesuar-vucut-harness-tasmali-siyah","FANTEZİ DERİ AKSESUAR VÜCUT HARNESS TASMALI SİYAH","sex-oyuncaklari","SEX OYUNCAKLARI",""
"377","fantezi-deri-vucut-harness-takimi-siyah-tasma-kelepce-ve-kulot-seti","Fantezi Deri Vücut Harness Takımı – Siyah Tasma, Kelepçe ve Külot Seti","sex-oyuncaklari","SEX OYUNCAKLARI",""
"378","fetis-fantezi-metal-kelepce","FETİŞ FANTEZİ METAL KELEPÇE","sex-oyuncaklari","SEX OYUNCAKLARI",""
"379","gercek-boyut-kalca-masturbator-55-kg","Gerçek Boyut Kalça Mastürbatör – 5,5 kg","sex-oyuncaklari","SEX OYUNCAKLARI",""
"380","gercekci-dildo-kalca-masturbator","Gerçekçi Dildo Kalça Mastürbatör","sex-oyuncaklari","SEX OYUNCAKLARI",""
"381","gercekci-sisme-kadin-esmer","Gerçekçi Şişme Kadın Esmer","sex-oyuncaklari","SEX OYUNCAKLARI",""
"382","gercekci-sisme-kadin-sarisin","Gerçekçi Şişme Kadın Sarışın","sex-oyuncaklari","SEX OYUNCAKLARI",""
"383","gercekci-vajina-masturbator","Gerçekçi Vajina Mastürbatör","sex-oyuncaklari","SEX OYUNCAKLARI",""
"384","gerd-gercek-hissiyatli-testis-halkali-penis-kilifi-77-inc-ten-rengi","Gerd Gerçek Hissiyatlı Testis Halkalı Penis Kılıfı 7.7 İnç – Ten Rengi","sex-oyuncaklari","SEX OYUNCAKLARI",""
"385","kelepceli-dantelli-jartiyer-takimi-beyaz","Kelepçeli Dantelli Jartiyer Takımı Beyaz","sex-oyuncaklari","SEX OYUNCAKLARI",""
"386","kelepceli-dantelli-jartiyer-takimi-siyah","Kelepçeli Dantelli Jartiyer Takımı Siyah","sex-oyuncaklari","SEX OYUNCAKLARI",""
"387","keon-214-cm-cift-katmanli-et-doku-penis-dildo","KEON 21,4 CM Çift Katmanlı Et Doku Penis Dildo","sex-oyuncaklari","SEX OYUNCAKLARI",""
"388","kirmizi-deri-el-ayak-kelepcesi","Kırmızı Deri El Ayak Kelepçesi","sex-oyuncaklari","SEX OYUNCAKLARI",""
"389","kirmizi-fantezi-deri-vucut-seti-harness","Kırmızı Fantezi Deri Vücut Seti Harness","sex-oyuncaklari","SEX OYUNCAKLARI",""
"390","kirmizi-peluslu-metal-kelepce","KIRMIZI PELUŞLU METAL KELEPÇE","sex-oyuncaklari","SEX OYUNCAKLARI",""
"391","kumandali-giyilebilir-titresimli-yumurta-vibrator-10-modlu","Kumandalı Giyilebilir Titreşimli Yumurta Vibratör – 10 Modlu","sex-oyuncaklari","SEX OYUNCAKLARI",""
"392","kylian-gercek-hissiyatli-uzatici-penis-kilifi-77-inc-ten-rengi","Kylian Gerçek Hissiyatlı Uzatıcı Penis Kılıfı 7.7 İnç – Ten Rengi","sex-oyuncaklari","SEX OYUNCAKLARI",""
"393","leopar-desenli-kelepce-detayli-seksi-ic-camasir-takimi","Leopar Desenli Kelepçe Detaylı Seksi İç Çamaşır Takımı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"394","lilly-love-doll-3-islevli-sisme-bebek","Lilly Love Doll 3 İşlevli Şişme Bebek","sex-oyuncaklari","SEX OYUNCAKLARI",""
"395","modern-dilli-rabbit-vibrator","Modern Dilli Rabbit Vibratör","sex-oyuncaklari","SEX OYUNCAKLARI",""
"396","nancy-love-doll-3-islevli-sisme-bebek","Nancy Love Doll 3 İşlevli Şişme Bebek","sex-oyuncaklari","SEX OYUNCAKLARI",""
"397","okey-ritim-prezervatif-10lu","Okey Ritim Prezervatif 10'Lu","sex-oyuncaklari","SEX OYUNCAKLARI",""
"398","parlak-dantel-transparan-vucut-corabi-kirmizi","Parlak Dantel Transparan Vücut Çorabı Kırmızı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"399","parlak-dantel-transparan-vucut-corabi-mini-etek-konsepti","Parlak Dantel Transparan Vücut Çorabı Mini Etek Konsepti","sex-oyuncaklari","SEX OYUNCAKLARI",""
"400","parlak-dantelli-mini-etek-vucut-corabi","Parlak Dantelli Mini Etek Vücut Çorabı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"401","penis-sleeve-uzatmali-seffaf-silikon-penis-kilifi","Penis Sleeve Uzatmalı Şeffaf Silikon Penis Kılıfı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"402","pozizyon-zari-siyah","Pozizyon Zarı Siyah","sex-oyuncaklari","SEX OYUNCAKLARI",""
"403","realistik-ten-penis-vibrator-et-doku-cift-katmanli","REALİSTİK TEN PENİS VİBRATÖR Et Doku Çift Katmanlı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"404","seksi-liseli-kiz-kostumu-corap-hediyeli","Seksi Liseli Kız Kostümü+ ÇORAP HEDİYELİ -","sex-oyuncaklari","SEX OYUNCAKLARI",""
"405","silikonlu-anal-tikac-plug-185cm","SİLİKONLU ANAL TIKAÇ PLUG 18.5CM","sex-oyuncaklari","SEX OYUNCAKLARI",""
"406","siyah-deri-el-ayak-kelepcesi-metal-zincir-baglantili","Siyah Deri El Ayak Kelepçesi Metal Zincir Bağlantılı","sex-oyuncaklari","SEX OYUNCAKLARI",""
"407","strapon-ici-bos-belden-baglamali-penis-vibrator","STRAPON İÇİ BOŞ Belden Bağlamalı Penis Vibratör","sex-oyuncaklari","SEX OYUNCAKLARI",""
"408","tasinabilir-manuel-anal-masturbator-snail-cup","Taşınabilir Manuel Anal Mastürbatör Snail Cup","sex-oyuncaklari","SEX OYUNCAKLARI",""
"409","tavsan-maskeli-ve-fantezi-full-body-seti","TAVŞAN MASKELİ VE FANTEZİ FULL BODY SETİ","sex-oyuncaklari","SEX OYUNCAKLARI",""
"410","yeni-nesil-cift-katmanli-realistik-vantuzlu-testissiz-melez-dildo-penis","Yeni Nesil Çift Katmanlı Realistik Vantuzlu Testissiz Melez Dildo Penis","sex-oyuncaklari","SEX OYUNCAKLARI",""
