slug,name,mevcut_kategoriler,hedef_kategori_slug(cursor),audit (manuel kontrol)
11-inc-titresimli-et-doku-penis-vibrator-gercek-hissin-yeni-tanimi,11 İnç Titreşimli Et Doku Penis Vibratör – Gerçek Hissin Yeni Tanımı!,sex-oyuncaklari,et-dokulu-urunler,doğru
12-titresim-fonksiyonlu-uzaktan-kumandali-yumurta-vibrator,12 TİTREŞİM FONKSİYONLU UZAKTAN KUMANDALI YUMURTA VİBRATÖR,sex-oyuncaklari,modern-vibratorler,doğru
21cm-gercekci-dildo-yapay-penis-vibrator,21CM Gerçekçi Dildo Yapay Penis Vibratör,sex-oyuncaklari,realistik-vibratorler,doğru
28-cm-gercekci-et-doku-uzun-dildo-penis,28 cm Gerçekçi Et Doku Uzun Dildo Penis,sex-oyuncaklari,realistik-dildolar,yanlış/ et-dokulu-urunler
ava-tpe-skeleton-tam-realistik-manken,Ava TPE-Skeleton Tam Realistik Manken,sex-oyuncaklari,fetis-ve-fantezi,yanlış/ realistik-mankenler
baile-dolgulu-titresimli-protez-strapon,Baile Dolgulu Titreşimli Protez Strapon,sex-oyuncaklari,belden-baglamalilar,doğru
bastan-cikarici-parlak-dantel-transparan-vucut-corabi,Baştan Çıkarıcı Parlak Dantel Transparan Vücut Çorabı,sex-oyuncaklari,realistik-vibratorler,yanlış/ fantezi-giyim
bdsm-fetis-deri-baglama-seti,BDSM FETİŞ DERİ BAĞLAMA SETİ,sex-oyuncaklari,fetis-ve-fantezi,doğru
belden-baglamali-cift-tarafli-ici-dolu-strapon-penis,Belden Bağlamalı Çift Taraflı İçi Dolu Strapon Penis,sex-oyuncaklari,belden-baglamalilar,doğru
belden-baglamali-ici-bos-titresimli-penis-vibrator,Belden Bağlamalı İçi Boş Titreşimli Penis Vibratör,sex-oyuncaklari,belden-baglamalilar,doğru
belden-baglamali-ici-dolu-strapon-penis,Belden Bağlamalı İçi Dolu Strapon Penis,sex-oyuncaklari,belden-baglamalilar,doğru
big-pussy-lilac-cift-tarafli-gercekci-et-dokusunda-anal-oral-ve-vajina-masturbator,BIG PUSSY Lilac Çift Taraflı Gerçekçi Et Dokusunda Anal Oral ve Vajina Mastürbatör,sex-oyuncaklari,et-dokulu-urunler,yanlış/ suni-vajina-masturbatorler
chane-5-cm-dolgulu-premium-silikon-penis-kilifi-ten-rengi-gercekci,Chane 5 cm Dolgulu Premium Silikon Penis Kılıfı – Ten Rengi Gerçekçi,sex-oyuncaklari,halka-ve-kiliflar,doğru
dolgulu-ici-bos-belden-baglamali-titresimli-kumandali-vibrator-strap-on,DOLGULU İÇİ BOŞ BELDEN BAĞLAMALI TİTREŞİMLİ KUMANDALI VİBRATÖR STRAP-ON,sex-oyuncaklari,belden-baglamalilar,doğru
ero-shop-bunion-gercek-hissiyatli-uzatici-penis-kilifi,Ero Shop Bunion Gerçek Hissiyatlı Uzatıcı Penis Kılıfı,sex-oyuncaklari,fetis-ve-fantezi,yanlış/ halka-ve-kiliflar
