product_slug,product_name,current_categories,suggested_top_level,final_top_level_slug
11-inc-titresimli-et-doku-penis-vibrator-gercek-hissin-yeni-tanimi,11 İnç Titreşimli Et Doku Penis Vibratör – Gerçek Hissin Yeni Tanımı!,"et-dokulu-urunler, sex-oyuncaklari",none,
12-titresim-fonksiyonlu-uzaktan-kumandali-yumurta-vibrator,12 TİTREŞİM FONKSİYONLU UZAKTAN KUMANDALI YUMURTA VİBRATÖR,"modern-vibratorler, sex-oyuncaklari",none,
17-cm-belden-baglamali-realistik-dildo-zenci-penis-set,17 cm Belden Bağlamalı Realistik Dildo Zenci Penis Set,"belden-baglamalilar, sex-oyuncaklari",none,
19-cm-ten-rengi-vantuzlu-dildo-gercekci-silikon-seks-oyuncagi-realistik-penis-dildo,19 CM Ten Rengi Vantuzlu Dildo – Gerçekçi Silikon Seks Oyuncağı | Realistik Penis Dildo,"realistik-dildolar, sex-oyuncaklari",none,
21cm-gercekci-dildo-yapay-penis-vibrator,21CM Gerçekçi Dildo Yapay Penis Vibratör,"realistik-vibratorler, sex-oyuncaklari",none,
21cm-yesil-jel-doku-dildo,21cm Yeşil Jel Doku Dildo,"realistik-dildolar, sex-oyuncaklari",none,
28-cm-gercekci-et-doku-uzun-dildo-penis,28 cm Gerçekçi Et Doku Uzun Dildo Penis,"et-dokulu-urunler, sex-oyuncaklari",none,
28-cm-titresimli-gercekci-kalin-dildo-penis-guclu-titresim-realistik-dick,28 cm Titreşimli Gerçekçi Kalın Dildo Penis | Güçlü Titreşim – Realistik Dick,"realistik-dildolar, sex-oyuncaklari",none,
2-si-1-arada-titresimli-realistik-catal-vibrator,2 si 1 Arada Titreşimli Realistik Çatal Vibratör,"modern-vibratorler, sex-oyuncaklari",none,
32cm-kahverengi-realistik-kilic-dildo,32cm Kahverengi Realistik Kılıç Dildo,"realistik-dildolar, sex-oyuncaklari",none,
3-boyutlu-suni-vajina-masturbator,3 Boyutlu Suni Vajina Mastürbatör,"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
3-boyutlu-suni-vajina-masturbator-kirmizi,3 BOYUTLU SUNİ VAJİNA MASTÜRBATÖR (KIRMIZI),"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
3-boyutlu-suni-vajina-masturbator-mavi,3 BOYUTLU SUNİ VAJİNA MASTÜRBATÖR (MAVİ),"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
3-boyutlu-suni-vajina-masturbator-mor,3 BOYUTLU SUNİ VAJİNA MASTÜRBATÖR (MOR),"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
6-kg-mini-yarim-vucut-manken,6 kg mini yarım vücut manken,"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
alev-kirmizisi-fantezi-giyim-ozel-bolgesi-acik,Alev Kırmızısı Fantezi Giyim Özel Bölgesi Açık,"fantezi-giyim, kadinlara-ozel",kadin,
anal-temizleme-pompasi,Anal Temizleme Pompası,anal-oyuncaklar,none,
anal-ve-g-spot-uyarici-vibrator,Anal ve G-Spot Uyarıcı Vibratör,"modern-vibratorler, sex-oyuncaklari",none,
anal-vibrator-seks-oyuncaklari,Anal Vibratör Seks Oyuncakları,anal-oyuncaklar,none,
angel-sisme-bebek,Angel Şişme Bebek,"erkeklere-ozel, sisme-kadinlar",erkek,
ava-tpe-skeleton-tam-realistik-manken,Ava TPE-Skeleton Tam Realistik Manken,"realistik-mankenler, sex-oyuncaklari",none,
baile-dolgulu-titresimli-protez-strapon,Baile Dolgulu Titreşimli Protez Strapon,"belden-baglamalilar, sex-oyuncaklari",none,
